01.04.2018 12:38:29 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1071
01.04.2018 12:38:29 [INFO] Method: get_exchange_info , Requests count: 1 , Average request time (ms): 1230
01.04.2018 12:38:29 [INFO] Method: get_order_book , Requests count: 102 , Average request time (ms): 655
01.04.2018 12:39:59 [INFO] Method: get_order_book , Requests count: 590 , Average request time (ms): 679
01.04.2018 12:39:59 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 883
disconnect
disconnect
01.04.2018 12:41:29 [INFO] Method: get_order_book , Requests count: 603 , Average request time (ms): 657
disconnect
disconnect
01.04.2018 12:42:59 [INFO] Method: get_order_book , Requests count: 406 , Average request time (ms): 668
01.04.2018 12:42:59 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1039
disconnect
01.04.2018 12:47:29 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1053
01.04.2018 12:47:29 [INFO] Method: get_exchange_info , Requests count: 1 , Average request time (ms): 1430
01.04.2018 12:47:29 [INFO] Method: get_order_book , Requests count: 383 , Average request time (ms): 699
01.04.2018 12:48:59 [INFO] Method: get_order_book , Requests count: 592 , Average request time (ms): 686
01.04.2018 12:48:59 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1061
01.04.2018 12:50:29 [INFO] Method: get_order_book , Requests count: 596 , Average request time (ms): 694
01.04.2018 12:50:29 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1074
01.04.2018 12:51:59 [INFO] Method: get_order_book , Requests count: 599 , Average request time (ms): 682
01.04.2018 12:51:59 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1618
01.04.2018 12:53:29 [INFO] Method: get_order_book , Requests count: 586 , Average request time (ms): 740
01.04.2018 12:53:29 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 996
01.04.2018 12:54:59 [INFO] Method: get_order_book , Requests count: 576 , Average request time (ms): 721
01.04.2018 12:54:59 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1104
01.04.2018 12:56:29 [INFO] Method: get_order_book , Requests count: 572 , Average request time (ms): 686
01.04.2018 12:56:29 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1212
01.04.2018 12:57:59 [INFO] Method: get_order_book , Requests count: 576 , Average request time (ms): 723
01.04.2018 12:59:29 [INFO] Method: get_order_book , Requests count: 572 , Average request time (ms): 738
01.04.2018 12:59:29 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1103
01.04.2018 13:01:00 [INFO] Method: get_order_book , Requests count: 590 , Average request time (ms): 676
01.04.2018 13:01:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1039
01.04.2018 13:02:30 [INFO] Method: get_order_book , Requests count: 592 , Average request time (ms): 722
01.04.2018 13:02:30 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 996
01.04.2018 13:04:00 [INFO] Method: get_order_book , Requests count: 583 , Average request time (ms): 680
01.04.2018 13:04:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1437
01.04.2018 13:05:30 [INFO] Method: get_order_book , Requests count: 594 , Average request time (ms): 684
01.04.2018 13:05:30 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1175
01.04.2018 13:07:00 [INFO] Method: get_order_book , Requests count: 573 , Average request time (ms): 651
01.04.2018 13:07:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1066
01.04.2018 13:08:30 [INFO] Method: get_order_book , Requests count: 591 , Average request time (ms): 693
01.04.2018 13:08:30 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1002
01.04.2018 13:10:00 [INFO] Method: get_order_book , Requests count: 582 , Average request time (ms): 642
01.04.2018 13:10:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 810
01.04.2018 13:11:30 [INFO] Method: get_order_book , Requests count: 581 , Average request time (ms): 630
01.04.2018 13:11:30 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1100
01.04.2018 13:13:00 [INFO] Method: get_order_book , Requests count: 585 , Average request time (ms): 661
01.04.2018 13:14:30 [INFO] Method: get_order_book , Requests count: 585 , Average request time (ms): 682
01.04.2018 13:14:30 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1124
01.04.2018 13:16:00 [INFO] Method: get_order_book , Requests count: 570 , Average request time (ms): 665
01.04.2018 13:16:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 3662
01.04.2018 13:17:30 [INFO] Method: get_order_book , Requests count: 551 , Average request time (ms): 669
01.04.2018 13:17:30 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1241
01.04.2018 13:19:00 [INFO] Method: get_order_book , Requests count: 563 , Average request time (ms): 679
01.04.2018 13:19:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1048
01.04.2018 13:20:30 [INFO] Method: get_order_book , Requests count: 572 , Average request time (ms): 670
01.04.2018 13:20:30 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 991
01.04.2018 13:22:00 [INFO] Method: get_order_book , Requests count: 562 , Average request time (ms): 663
01.04.2018 13:22:00 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 984
01.04.2018 13:23:30 [INFO] Method: get_order_book , Requests count: 574 , Average request time (ms): 658
