01.04.2018 13:58:37 [INFO] Method: get_pair_settings , Requests count: 1 , Average request time (ms): 617
01.04.2018 13:58:37 [INFO] Method: get_order_books , Requests count: 101 , Average request time (ms): 600
01.04.2018 14:00:07 [INFO] Method: get_order_books , Requests count: 107 , Average request time (ms): 617
01.04.2018 14:01:37 [INFO] Method: get_order_books , Requests count: 110 , Average request time (ms): 610
01.04.2018 14:03:07 [INFO] Method: get_order_books , Requests count: 105 , Average request time (ms): 597
01.04.2018 14:04:37 [INFO] Method: get_order_books , Requests count: 103 , Average request time (ms): 598
01.04.2018 14:06:07 [INFO] Method: get_order_books , Requests count: 97 , Average request time (ms): 623
01.04.2018 14:07:37 [INFO] Method: get_order_books , Requests count: 98 , Average request time (ms): 627
01.04.2018 14:09:07 [INFO] Method: get_order_books , Requests count: 101 , Average request time (ms): 616
01.04.2018 14:10:37 [INFO] Method: get_order_books , Requests count: 101 , Average request time (ms): 631
01.04.2018 14:12:07 [INFO] Method: get_order_books , Requests count: 104 , Average request time (ms): 606
01.04.2018 14:13:37 [INFO] Method: get_order_books , Requests count: 105 , Average request time (ms): 619
01.04.2018 14:15:07 [INFO] Method: get_order_books , Requests count: 88 , Average request time (ms): 624
01.04.2018 14:16:37 [INFO] Method: get_order_books , Requests count: 87 , Average request time (ms): 624
01.04.2018 14:18:07 [INFO] Method: get_order_books , Requests count: 22 , Average request time (ms): 649
01.04.2018 14:19:37 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 676
01.04.2018 14:21:07 [INFO] Method: get_order_books , Requests count: 3 , Average request time (ms): 659
01.04.2018 14:22:37 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 566
01.04.2018 14:24:07 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 599
01.04.2018 14:25:37 [INFO] Method: get_order_books , Requests count: 3 , Average request time (ms): 699
01.04.2018 14:27:07 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 716
01.04.2018 14:28:37 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 706
01.04.2018 14:30:07 [INFO] Method: get_order_books , Requests count: 3 , Average request time (ms): 787
01.04.2018 14:31:37 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 665
01.04.2018 14:33:07 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 611
01.04.2018 14:34:37 [INFO] Method: get_order_books , Requests count: 3 , Average request time (ms): 895
01.04.2018 14:36:07 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 724
01.04.2018 14:45:07 [INFO] Method: get_pair_settings , Requests count: 1 , Average request time (ms): 606
01.04.2018 14:45:07 [INFO] Method: get_order_books , Requests count: 48 , Average request time (ms): 603
01.04.2018 14:46:37 [INFO] Method: get_order_books , Requests count: 108 , Average request time (ms): 627
01.04.2018 14:48:07 [INFO] Method: get_order_books , Requests count: 103 , Average request time (ms): 667
01.04.2018 14:49:37 [INFO] Method: get_order_books , Requests count: 111 , Average request time (ms): 611
01.04.2018 14:51:07 [INFO] Method: get_order_books , Requests count: 106 , Average request time (ms): 626
01.04.2018 14:52:37 [INFO] Method: get_order_books , Requests count: 109 , Average request time (ms): 619
01.04.2018 14:54:07 [INFO] Method: get_order_books , Requests count: 107 , Average request time (ms): 623
01.04.2018 14:55:37 [INFO] Method: get_order_books , Requests count: 100 , Average request time (ms): 637
01.04.2018 14:57:07 [INFO] Method: get_order_books , Requests count: 99 , Average request time (ms): 621
01.04.2018 14:58:37 [INFO] Method: get_order_books , Requests count: 96 , Average request time (ms): 614
01.04.2018 15:00:07 [INFO] Method: get_order_books , Requests count: 99 , Average request time (ms): 641
01.04.2018 15:01:37 [INFO] Method: get_order_books , Requests count: 101 , Average request time (ms): 628
01.04.2018 15:03:07 [INFO] Method: get_order_books , Requests count: 104 , Average request time (ms): 623
01.04.2018 15:04:37 [INFO] Method: get_order_books , Requests count: 40 , Average request time (ms): 632
01.04.2018 15:06:07 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 645
01.04.2018 15:07:37 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 796
01.04.2018 15:09:07 [INFO] Method: get_order_books , Requests count: 3 , Average request time (ms): 743
01.04.2018 15:10:37 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 619
01.04.2018 15:12:07 [INFO] Method: get_order_books , Requests count: 1 , Average request time (ms): 562
01.04.2018 15:13:37 [INFO] Method: get_order_books , Requests count: 2 , Average request time (ms): 779
01.04.2018 15:15:07 [INFO] Method: get_order_books , Requests count: 3 , Average request time (ms): 727
