01.04.2018 12:37:41 [INFO] Method: get_deposit_transactions , Requests count: 1 , Average request time (ms): 7227
01.04.2018 12:39:11 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 27249
01.04.2018 12:39:11 [INFO] Method: get_all_order_books , Requests count: 1 , Average request time (ms): 31268
01.04.2018 12:40:41 [INFO] Method: get_order_book , Requests count: 75 , Average request time (ms): 16595
01.04.2018 12:40:41 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 15646
01.04.2018 12:42:11 [INFO] Method: get_coin_info , Requests count: 3 , Average request time (ms): 7233
01.04.2018 12:42:11 [INFO] Method: get_all_order_books , Requests count: 1 , Average request time (ms): 682
01.04.2018 12:42:11 [INFO] Method: get_order_book , Requests count: 461 , Average request time (ms): 764
01.04.2018 12:43:41 [INFO] Method: get_order_book , Requests count: 139 , Average request time (ms): 753
01.04.2018 12:46:41 [INFO] Method: withdraw_request , Requests count: 1 , Average request time (ms): 1848
01.04.2018 12:48:11 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 22703
01.04.2018 12:48:11 [INFO] Method: get_all_order_books , Requests count: 1 , Average request time (ms): 68995
01.04.2018 12:49:41 [INFO] Method: get_order_book , Requests count: 75 , Average request time (ms): 19466
01.04.2018 12:49:41 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 44690
01.04.2018 12:51:11 [INFO] Method: get_order_book , Requests count: 72 , Average request time (ms): 20295
01.04.2018 12:51:11 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 41674
01.04.2018 12:52:41 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 8660
01.04.2018 12:54:11 [INFO] Method: get_order_book , Requests count: 2 , Average request time (ms): 204481
01.04.2018 12:54:11 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1122
01.04.2018 12:55:41 [INFO] Method: get_coin_info , Requests count: 3 , Average request time (ms): 1136
01.04.2018 12:55:41 [INFO] Method: get_all_order_books , Requests count: 1 , Average request time (ms): 1439
01.04.2018 12:55:41 [INFO] Method: get_order_book , Requests count: 152 , Average request time (ms): 981
01.04.2018 12:57:11 [INFO] Method: get_order_book , Requests count: 523 , Average request time (ms): 979
01.04.2018 12:57:11 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1221
01.04.2018 12:58:41 [INFO] Method: get_order_book , Requests count: 525 , Average request time (ms): 982
01.04.2018 12:58:41 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1231
01.04.2018 13:00:11 [INFO] Method: get_order_book , Requests count: 524 , Average request time (ms): 991
01.04.2018 13:00:11 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1130
01.04.2018 13:01:41 [INFO] Method: get_order_book , Requests count: 518 , Average request time (ms): 991
01.04.2018 13:01:41 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1169
01.04.2018 13:03:11 [INFO] Method: get_order_book , Requests count: 520 , Average request time (ms): 987
01.04.2018 13:03:11 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1163
01.04.2018 13:04:41 [INFO] Method: get_order_book , Requests count: 460 , Average request time (ms): 1062
01.04.2018 13:04:41 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1149
01.04.2018 13:04:54 [ERROR] Error method:get_order_book прокси:http://hanik:19931802@46.17.44.66:3135 request_time:909959 Error info:{"code":"ECONNRESET","name":"Error","message":"socket hang up","stack":"Error: socket hang up\n    at createHangUpError (_http_client.js:302:15)\n    at TLSSocket.socketOnEnd (_http_client.js:394:23)\n    at emitNone (events.js:91:20)\n    at TLSSocket.emit (events.js:188:7)\n    at endReadableNT (_stream_readable.js:975:12)\n    at _combinedTickCallback (internal/process/next_tick.js:80:11)\n    at process._tickCallback (internal/process/next_tick.js:104:9)"}

01.04.2018 13:06:11 [INFO] Method: get_order_book , Requests count: 77 , Average request time (ms): 15501
01.04.2018 13:06:11 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 19032
01.04.2018 13:07:41 [INFO] Method: get_order_book , Requests count: 142 , Average request time (ms): 14483
01.04.2018 13:07:41 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 14288
01.04.2018 13:09:11 [INFO] Method: get_order_book , Requests count: 84 , Average request time (ms): 17439
01.04.2018 13:09:11 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 27565
01.04.2018 13:10:41 [INFO] Method: get_order_book , Requests count: 206 , Average request time (ms): 12945
01.04.2018 13:10:41 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 25739
01.04.2018 13:12:11 [INFO] Method: get_order_book , Requests count: 94 , Average request time (ms): 15249
