31.03.2018 23:54:49 [INFO] Method: get_coin_info , Requests count: 3 , Average request time (ms): 1298
31.03.2018 23:54:49 [INFO] Method: get_all_order_books , Requests count: 1 , Average request time (ms): 1180
31.03.2018 23:54:49 [INFO] Method: get_order_book , Requests count: 491 , Average request time (ms): 1143
31.03.2018 23:56:19 [INFO] Method: get_order_book , Requests count: 511 , Average request time (ms): 1197
31.03.2018 23:56:19 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1114
31.03.2018 23:57:49 [INFO] Method: get_order_book , Requests count: 495 , Average request time (ms): 1288
31.03.2018 23:57:49 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1501
31.03.2018 23:59:19 [INFO] Method: get_order_book , Requests count: 499 , Average request time (ms): 1086
31.03.2018 23:59:19 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1252
01.04.2018 00:00:49 [INFO] Method: get_order_book , Requests count: 522 , Average request time (ms): 782
01.04.2018 00:00:49 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 946
01.04.2018 00:02:19 [INFO] Method: get_order_book , Requests count: 520 , Average request time (ms): 776
01.04.2018 00:02:19 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1043
01.04.2018 00:03:49 [INFO] Method: get_order_book , Requests count: 523 , Average request time (ms): 777
01.04.2018 00:03:49 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 927
01.04.2018 00:05:19 [INFO] Method: get_order_book , Requests count: 523 , Average request time (ms): 780
01.04.2018 00:05:19 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 965
01.04.2018 00:06:49 [INFO] Method: get_order_book , Requests count: 527 , Average request time (ms): 775
01.04.2018 00:06:49 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 999
01.04.2018 00:08:19 [INFO] Method: get_order_book , Requests count: 519 , Average request time (ms): 777
01.04.2018 00:08:19 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 956
01.04.2018 00:09:49 [INFO] Method: get_order_book , Requests count: 514 , Average request time (ms): 771
01.04.2018 00:09:49 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1035
01.04.2018 00:11:19 [INFO] Method: get_order_book , Requests count: 522 , Average request time (ms): 775
01.04.2018 00:11:19 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 3591
01.04.2018 00:12:49 [INFO] Method: get_order_book , Requests count: 483 , Average request time (ms): 973
01.04.2018 00:12:49 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1370
01.04.2018 00:12:49 [INFO] Method: get_deposit_address , Requests count: 1 , Average request time (ms): 1537
01.04.2018 00:12:49 [INFO] Method: get_deposit_transactions , Requests count: 48 , Average request time (ms): 812
01.04.2018 00:14:19 [INFO] Method: get_deposit_transactions , Requests count: 110 , Average request time (ms): 768
01.04.2018 00:14:19 [INFO] Method: get_order_book , Requests count: 431 , Average request time (ms): 775
01.04.2018 00:14:19 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 998
01.04.2018 00:15:49 [INFO] Method: get_order_book , Requests count: 421 , Average request time (ms): 764
01.04.2018 00:15:49 [INFO] Method: get_deposit_transactions , Requests count: 113 , Average request time (ms): 754
01.04.2018 00:15:49 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 916
01.04.2018 00:17:19 [INFO] Method: get_deposit_transactions , Requests count: 114 , Average request time (ms): 751
01.04.2018 00:17:19 [INFO] Method: get_order_book , Requests count: 431 , Average request time (ms): 759
01.04.2018 00:17:19 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 934
01.04.2018 00:18:49 [INFO] Method: get_deposit_transactions , Requests count: 114 , Average request time (ms): 751
01.04.2018 00:18:49 [INFO] Method: get_order_book , Requests count: 421 , Average request time (ms): 762
01.04.2018 00:18:49 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 969
01.04.2018 00:20:19 [INFO] Method: get_deposit_transactions , Requests count: 111 , Average request time (ms): 761
01.04.2018 00:20:19 [INFO] Method: get_order_book , Requests count: 430 , Average request time (ms): 767
01.04.2018 00:20:19 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1056
01.04.2018 00:21:49 [INFO] Method: get_deposit_transactions , Requests count: 113 , Average request time (ms): 757
01.04.2018 00:21:49 [INFO] Method: get_order_book , Requests count: 429 , Average request time (ms): 768
01.04.2018 00:21:49 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 979
01.04.2018 00:23:19 [INFO] Method: get_order_book , Requests count: 429 , Average request time (ms): 767
01.04.2018 00:23:19 [INFO] Method: get_deposit_transactions , Requests count: 113 , Average request time (ms): 755
01.04.2018 00:23:19 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 927
01.04.2018 00:24:49 [INFO] Method: get_order_book , Requests count: 430 , Average request time (ms): 763
01.04.2018 00:24:49 [INFO] Method: get_deposit_transactions , Requests count: 113 , Average request time (ms): 756
01.04.2018 00:24:49 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 955
01.04.2018 00:26:19 [INFO] Method: get_deposit_transactions , Requests count: 112 , Average request time (ms): 757
01.04.2018 00:26:19 [INFO] Method: get_order_book , Requests count: 429 , Average request time (ms): 769
01.04.2018 00:26:19 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 984
01.04.2018 00:27:49 [INFO] Method: get_deposit_transactions , Requests count: 113 , Average request time (ms): 754
01.04.2018 00:27:49 [INFO] Method: get_order_book , Requests count: 427 , Average request time (ms): 760
01.04.2018 00:27:49 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 927
01.04.2018 00:29:19 [INFO] Method: get_order_book , Requests count: 423 , Average request time (ms): 761
01.04.2018 00:29:19 [INFO] Method: get_deposit_transactions , Requests count: 113 , Average request time (ms): 752
01.04.2018 00:29:19 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 977
01.04.2018 00:30:49 [INFO] Method: get_deposit_transactions , Requests count: 104 , Average request time (ms): 828
01.04.2018 00:30:49 [INFO] Method: get_order_book , Requests count: 427 , Average request time (ms): 891
01.04.2018 00:30:49 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 922
01.04.2018 00:32:19 [INFO] Method: get_order_book , Requests count: 462 , Average request time (ms): 1091
01.04.2018 00:32:19 [INFO] Method: get_deposit_transactions , Requests count: 68 , Average request time (ms): 1066
01.04.2018 00:32:19 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1412
01.04.2018 00:33:49 [INFO] Method: get_order_book , Requests count: 460 , Average request time (ms): 1025
01.04.2018 00:33:49 [INFO] Method: get_deposit_transactions , Requests count: 72 , Average request time (ms): 1007
01.04.2018 00:33:49 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1098
01.04.2018 00:35:19 [INFO] Method: get_order_book , Requests count: 513 , Average request time (ms): 977
01.04.2018 00:35:19 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1007
01.04.2018 00:35:19 [INFO] Method: get_deposit_transactions , Requests count: 3 , Average request time (ms): 982
01.04.2018 00:36:49 [INFO] Method: get_order_book , Requests count: 458 , Average request time (ms): 1012
01.04.2018 00:36:49 [INFO] Method: get_deposit_transactions , Requests count: 72 , Average request time (ms): 994
01.04.2018 00:36:49 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1239
